Mã Đơn Hàng (*),Thời Gian (YYYY-MM-DD HH:MM),Trạng Thái (completed/cancelled),Tên Món (*),Biến Thể / Size,Số Lượng (*),Đơn Giá Món (*),Topping Đi Kèm,Tiền Topping,Giảm Giá Đơn,Phí Ship,Phụ Thu,Tổng Tiền Đơn,Nguồn Tiền (Tiền mặt/Chuyển khoản),Thu Ngân,Ghi Chú Đơn
CJKVSXXZDQ,2026-08-19 22:25:44,completed,TÁO + LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
UCAKKDBZPI,2026-08-19 22:25:44,completed,LỰU + TÁO,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
ZPRMPWMCNO,2026-08-19 22:24:52,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Tiền mặt,DAT,
YUHTBWGSXM,2026-08-19 21:29:10,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
EYHUHWTEPM,2026-08-19 21:29:02,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
PHHSLIMJOT,2026-08-19 20:11:25,completed,CAM,Size M,2,25000,,,0,0,0,50000,Chuyển khoản,DAT,
QFAGLTURDU,2026-08-19 20:11:25,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,DAT,
XDJBLUOSYD,2026-08-19 19:43:26,completed,DỨA,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
AXYXJYIKAF,2026-08-19 19:43:26,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,DAT,
BRIBVYEYLK,2026-08-19 19:43:26,completed,LỰU + TÁO,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,DAT,
REZVLLBOEW,2026-08-19 19:43:01,completed,CAM,Size M,2,25000,,,0,0,0,50000,Chuyển khoản,DAT,
JJZHHYTUUP,2026-08-19 17:43:06,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
YBJOAAQZGK,2026-08-19 17:06:53,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
UMWBWTFWHB,2026-08-19 17:06:53,completed,ỔI,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
NVFEJMQDVN,2026-08-19 17:06:19,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
DOJFYAHSZS,2026-08-19 16:34:10,completed,CAM,Size M,3,25000,,,0,0,0,75000,Chuyển khoản,NHUNG,
OKSEEXWRIL,2026-08-19 16:34:10,completed,CAM,Size M,1,0,,,0,0,0,0,Chuyển khoản,NHUNG,
LABJSLQCKT,2026-08-19 13:42:46,completed,ỔI,Size L,4,25000,,,0,0,0,100000,Tiền mặt,NHUNG,
BFSIWXTIJN,2026-08-19 13:42:46,completed,LÊ,Size L,2,30000,,,0,0,0,60000,Tiền mặt,NHUNG,
AUEWSGLCPV,2026-08-19 13:42:46,completed,DƯA HẤU,Size L,5,25000,,,0,0,0,125000,Tiền mặt,NHUNG,
HRPSNSPAKM,2026-08-19 13:42:46,completed,LỰU,Size L,1,0,,,0,0,0,0,Tiền mặt,NHUNG,
LOXNIAGLAW,2026-08-19 11:23:22,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
