Thời Gian (YYYY-MM-DD HH:MM),Loại (Thu/Chi) (*),Danh Mục Thu Chi (*),Số Tiền (*),Nguồn Tiền (Tiền mặt/Chuyển khoản) (*),Người Thực Hiện,Ghi Chú
2026-08-18 15:44,Chi,Chi phí nhập hàng," 220,000 ",Tiền mặt,NDN,1 thùng lựu móng tự
2026-08-18 15:44,Chi,Chi phí nhập hàng," 10,000 ",Tiền mặt,NDN,1 túi đá
2026-08-18 15:43,Chi,Chi phí nhập hàng," 120,000 ",Tiền mặt,NDN,10 quả dứa (12k/quả)
2026-08-18 09:11,Chi,Chi phí nhập hàng," 92,000 ",Tiền mặt,NDN,Đá ống hút
2026-08-17 10:41,Chi,Chi phí nhập hàng," 652,000 ",Tiền mặt,NDN,"5,4kg ổi 105k (20k/kg)
4,3kg cóc 63k (15k/kg)
7 quả dứa 90k (13k/quả)
2 dvang 164k (25k/kg)
1 thùng lựu móng tự 230k"
2026-08-17 10:41,Chi,Chi phí nhập hàng," 18,000 ",Tiền mặt,NDN,2 túi đá
2026-08-16 14:05,Chi,Chi phí nhập hàng," 438,000 ",Tiền mặt,NDN,3 túi bột milk foam và 1 hộp sữa béo
2026-08-16 14:04,Chi,Chi phí nhập hàng," 20,000 ",Tiền mặt,NDN,2 túi đá
2026-08-15 17:25,Chi,Chi phí nhập hàng," 220,000 ",Tiền mặt,NDN,cốt cf
2026-08-15 16:44,Chi,Chi phí nhập hàng," 10,000 ",Tiền mặt,NDN,1 túi đá
2026-08-15 16:42,Chi,Chi phí nhập hàng," 787,000 ",Tiền mặt,NDN,"Nhập 2 thùng lựu, 1 túi cóc, 1 túi dưa hấu"
2026-08-15 08:11,Chi,Chi phí nhập hàng," 18,000 ",Tiền mặt,NDN,2 túi đá
2026-08-14 21:43,Chi,"Thiết bị, dụng cụ, phần mềm"," 154,000 ",Tiền mặt,NDN,
2026-08-14 15:27,Chi,Chi phí nhập hàng," 212,000 ",Tiền mặt,NDN,"4,89kg 112k lựu (23k/kg)
2,8kg ổi 50k (18k/kg)
7 quả dứa 70k (10k/quả)"
2026-08-14 15:26,Chi,Chi phí nhập hàng," 43,000 ",Tiền mặt,NDN,"1 Túi rác to loại 15k
1 túi xiên que"
2026-08-14 12:33,Chi,Chi phí nhập hàng," 40,000 ",Tiền mặt,NDN,phí ship hoa quả
2026-08-14 12:17,Chi,Chi phí nhập hàng," 481,000 ",Tiền mặt,NDN,lựu dưa hấu
2026-08-13 20:31,Chi,Tiền đá viên," 10,000 ",Tiền mặt,NDN,
2026-08-13 19:23,Chi,Chi phí nhập hàng," 75,000 ",Tiền mặt,NDN,dưa vàng
2026-08-13 19:23,Chi,Chi phí nhập hàng," 64,000 ",Tiền mặt,NDN,dưa hấu
2026-08-13 10:59,Chi,Chi phí nhập hàng," 20,000 ",Tiền mặt,NDN,2 túi đá
2026-08-13 10:46,Chi,"Điện, nước, internet"," 880,000 ",Tiền mặt,NDN,Điện nước t7
2026-08-12 20:46,Chi,Tiền đá viên," 10,000 ",Tiền mặt,NDN,
2026-08-12 18:46,Chi,Chi phí nhập hàng," 187,000 ",Tiền mặt,NDN,"cốc nhựa, nắp, ống hút"
2026-08-12 18:38,Chi,Chi phí nhập hàng," 240,000 ",Tiền mặt,NDN,1 thùng táo đỏ 11kg
